ITEM,POPULATION TYPE,OCCURRENCES,POPULATION COUNT,PREVALENCE RATE,PREVALENCE PERCENTAGE
Viral Sinusitis (Disorder),LIVING,868,1000,0.868,86.8
Streptococcal Sore Throat (Disorder),LIVING,487,1000,0.487,48.7
Laceration Of Thigh,LIVING,117,1000,0.117,11.7
Acute Viral Pharyngitis (Disorder),LIVING,772,1000,0.772,77.2
Acute Bronchitis (Disorder),LIVING,749,1000,0.749,74.9
Cystitis,LIVING,58,1000,0.058,5.8
Normal Pregnancy,LIVING,340,1000,0.34,34.0
Escherichia Coli Urinary Tract Infection,LIVING,78,1000,0.078,7.8
Otitis Media,LIVING,699,1000,0.699,69.9
Fracture Subluxation Of Wrist,LIVING,110,1000,0.11,11.0
Injury Of Anterior Cruciate Ligament,LIVING,22,1000,0.022,2.2
Fracture Of Forearm,LIVING,122,1000,0.122,12.2
Laceration Of Foot,LIVING,91,1000,0.091,9.1
Suspected Lung Cancer (Situation),LIVING,0,1000,0.0,0.0
Non Small Cell Lung Cancer (Disorder),LIVING,0,1000,0.0,0.0
Non Small Cell Carcinoma Of Lung Tnm Stage 4 (Disorder),LIVING,0,1000,0.0,0.0
Sinusitis (Disorder),LIVING,189,1000,0.189,18.9
Chronic Sinusitis (Disorder),LIVING,202,1000,0.202,20.2
Preeclampsia,LIVING,66,1000,0.066,6.6
Antepartum Eclampsia,LIVING,79,1000,0.079,7.9
Concussion With No Loss Of Consciousness,LIVING,200,1000,0.2,20.0
Prediabetes,LIVING,232,1000,0.232,23.2
Diabetes,LIVING,49,1000,0.049,4.9
Diabetic Retinopathy Associated With Type Ii Diabetes Mellitus (Disorder),LIVING,18,1000,0.018,1.8
Nonproliferative Diabetic Retinopathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,11,1000,0.011,1.1
Macular Edema And Retinopathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,2,1000,0.002,0.2
Diabetic Renal Disease (Disorder),LIVING,13,1000,0.013,1.3
Fracture Of Rib,LIVING,52,1000,0.052,5.2
Whiplash Injury To Neck,LIVING,150,1000,0.15,15.0
Hypertension,LIVING,238,1000,0.238,23.8
Chronic Obstructive Bronchitis (Disorder),LIVING,21,1000,0.021,2.1
Acute Bacterial Sinusitis (Disorder),LIVING,180,1000,0.18,18.0
Neuropathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,23,1000,0.023,2.3
Stroke,LIVING,40,1000,0.04,4.0
Sprain Of Wrist,LIVING,188,1000,0.188,18.8
Laceration Of Hand,LIVING,113,1000,0.113,11.3
Miscarriage In First Trimester,LIVING,117,1000,0.117,11.7
Fetus With Chromosomal Abnormality,LIVING,91,1000,0.091,9.1
Osteoarthritis Of Hip,LIVING,14,1000,0.014,1.4
Osteoporosis (Disorder),LIVING,31,1000,0.031,3.1
Pathological Fracture Due To Osteoporosis (Disorder),LIVING,15,1000,0.015,1.5
Facial Laceration,LIVING,103,1000,0.103,10.3
Childhood Asthma,LIVING,40,1000,0.04,4.0
Bullet Wound,LIVING,5,1000,0.005,0.5
Asthma,LIVING,24,1000,0.024,2.4
First Degree Burn,LIVING,77,1000,0.077,7.7
Pulmonary Emphysema (Disorder),LIVING,10,1000,0.01,1.0
Child Attention Deficit Disorder,LIVING,86,1000,0.086,8.6
Sprain Of Ankle,LIVING,367,1000,0.367,36.7
Second Degree Burn,LIVING,43,1000,0.043,4.3
Laceration Of Forearm,LIVING,112,1000,0.112,11.2
Blighted Ovum,LIVING,46,1000,0.046,4.6
Polyp Of Colon,LIVING,68,1000,0.068,6.8
Recurrent Rectal Polyp,LIVING,8,1000,0.008,0.8
Overlapping Malignant Neoplasm Of Colon,LIVING,2,1000,0.002,0.2
Miscarriage In Second Trimester,LIVING,36,1000,0.036,3.6
Complication Occuring During Pregnancy,LIVING,9,1000,0.009,0.9
Concussion Injury Of Brain,LIVING,22,1000,0.022,2.2
Injury Of Tendon Of The Rotator Cuff Of Shoulder,LIVING,49,1000,0.049,4.9
Fracture Of Clavicle,LIVING,125,1000,0.125,12.5
Concussion With Loss Of Consciousness,LIVING,53,1000,0.053,5.3
Localized Primary Osteoarthritis Of The Hand,LIVING,9,1000,0.009,0.9
Seizure Disorder,LIVING,22,1000,0.022,2.2
History Of Single Seizure (Situation),LIVING,22,1000,0.022,2.2
Malignant Tumor Of Colon,LIVING,2,1000,0.002,0.2
Closed Fracture Of Hip,LIVING,33,1000,0.033,3.3
Appendicitis,LIVING,39,1000,0.039,3.9
History Of Appendectomy,LIVING,39,1000,0.039,3.9
Contact Dermatitis,LIVING,26,1000,0.026,2.6
Fracture Of Ankle,LIVING,90,1000,0.09,9.0
Coronary Heart Disease,LIVING,29,1000,0.029,2.9
Primary Malignant Neoplasm Of Colon,LIVING,8,1000,0.008,0.8
