Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,Income,Education_Score,Age,First_Interaction,City_Type,Employer_Category
485678,0,0,0,0,1,90,39,18-Jun-03,,Software Industry
485679,0,0,0,0,1,None,40,20-Jul-03,H,Software Industry
485680,0,0,0,0,3,87,46,02-Nov-02,D,BFSI
485681,0,0,0,0,1,75,47,02-Nov-02,D,Education
485682,0,0,0,0,3,None,80,24-Nov-02,H,Others
485683,0,0,0,0,None,None,None,06-Apr-03,,
485684,0,0,0,0,None,None,None,26-Apr-03,,
485685,0,0,0,0,None,None,None,05-Apr-03,,
485686,0,0,0,0,None,None,None,10-Apr-03,F,
485689,0,1,1,0,4,72,58,08-Jun-03,G,Technology
485690,0,1,0,0,0,None,48,31-May-03,B,
485691,0,1,0,1,1,75,42,12-Apr-03,B,Education
485693,0,0,0,0,None,73.85333333,52,06-Jul-03,B,Consulting
485694,0,0,0,0,None,None,None,04-Jul-03,G,
485695,0,0,0,0,1,67,56,06-Mar-03,F,Technology
485696,0,0,0,0,None,None,None,07-Jul-03,,
485697,0,0,0,0,None,None,None,06-Jul-03,,
485698,0,0,0,0,0,None,49,12-Jul-03,F,Consulting
485699,1,1,1,0,0,None,38,09-Nov-02,G,
485700,0,0,0,0,None,None,None,08-Jul-03,E,
485701,0,0,0,0,0,None,46,06-Jul-03,H,Others
485702,0,0,0,0,2,79,45,08-Feb-03,G,BFSI
485703,0,0,0,0,None,None,None,06-Apr-03,B,
485704,0,0,0,0,None,None,None,04-Jul-03,H,
485705,0,0,0,0,None,None,None,05-Jul-03,,
485706,0,0,0,0,None,None,None,06-Jul-03,G,
485707,0,0,0,0,None,None,None,03-Nov-02,B,
485708,0,0,0,0,3,None,51,04-Jul-03,E,Technology
485709,0,0,0,0,0,None,50,02-Jul-03,F,
485711,1,1,0,1,3,83.75666667,43,21-Apr-03,B,Manufacturing
485712,0,0,0,0,None,None,None,11-May-03,G,
485713,0,0,0,0,None,None,None,06-Jul-03,D,
485714,0,0,0,0,None,None,None,08-Feb-03,B,
485715,0,1,0,1,0,None,39,07-Feb-03,H,
485716,0,0,0,0,2,None,48,06-Mar-03,G,Consulting
485717,0,0,0,0,0,None,53,08-Jul-03,B,Technology
485718,0,0,1,0,2,None,41,06-Mar-03,D,Software Industry
485719,0,0,0,0,0,None,39,16-Jul-03,G,
485720,0,0,0,0,None,None,None,17-Dec-02,B,
485721,0,1,1,0,0,None,41,09-May-03,I,Technology
485722,0,0,0,0,0,None,42,28-May-03,B,
485724,0,0,0,0,0,None,44,17-Jul-03,B,
485725,0,0,0,0,None,None,None,04-Jul-03,H,
485726,0,0,0,0,None,None,None,25-Dec-02,B,
