_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,does_the_figure_correspond_to_the_category,does_the_figure_correspond_to_the_category:confidence,class,does_the_figure_correspond_to_the_category_gold,image_url
660800040,FALSE,finalized,2,1/27/15 14:22,"No, wrong category",1,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1471-2199-10-87-1-4.jpg
660800041,FALSE,finalized,2,1/27/15 12:38,"No, wrong category",1,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1471-2121-11-22-2-7.jpg
660800042,FALSE,finalized,3,1/27/15 13:05,"Yes, perfect classification",1,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1475-2867-9-27-1-5.jpg
660800043,FALSE,finalized,2,1/27/15 14:40,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1475-2875-9-162-2-5.jpg
660800044,FALSE,finalized,3,1/27/15 16:50,"No, wrong category",0.6414,[DVOR] Other organs,,http://fast.hevs.ch/images/subfigures/1471-2148-8-48-11-3.jpg
660800045,FALSE,finalized,2,1/27/15 16:33,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1471-2148-5-16-2-5.jpg
660800046,FALSE,finalized,3,1/27/15 15:26,"No, wrong category",0.6559,[GCHE] Chemical structure,,http://fast.hevs.ch/images/subfigures/1471-2164-8-53-1-10.jpg
660800047,FALSE,finalized,2,1/27/15 14:20,"No, wrong category",1,[DRUS] Ultrasound,,http://fast.hevs.ch/images/subfigures/1471-2407-6-32-3-3.jpg
660800048,FALSE,finalized,3,1/27/15 13:10,"No, wrong category",0.6828,[GFLO] Flowcharts,,http://fast.hevs.ch/images/subfigures/1471-2105-11-104-2-1.jpg
660800049,FALSE,finalized,3,1/27/15 15:06,"Yes, perfect classification",0.6549,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1479-5876-3-22-6-3.jpg
660800050,FALSE,finalized,3,1/27/15 16:12,"Yes, perfect classification",0.6608,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1465-9921-11-138-7-4.jpg
660800051,FALSE,finalized,2,1/27/15 15:57,"No, wrong category",1,[GNCP] Non-clinical photos,,http://fast.hevs.ch/images/subfigures/1476-7120-8-48-8-1.jpg
660800052,FALSE,finalized,2,1/27/15 14:42,"Yes, perfect classification",1,[DMTR] Transmission microscopy,,http://fast.hevs.ch/images/subfigures/1477-3155-3-6-2-1.jpg
660800053,FALSE,finalized,2,1/27/15 16:43,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1742-4690-5-107-6-5.jpg
660800054,FALSE,finalized,2,1/27/15 14:30,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1752-0509-3-113-1-1.jpg
660800055,TRUE,golden,210,,"Yes, perfect classification",0.9555,"[GFIG] Statistical figures, graphs, charts","Yes, perfect classification",http://fast.hevs.ch/images/subfigures/1471-2407-10-314-1-4.jpg
660800056,FALSE,finalized,3,1/27/15 14:43,"No, wrong category",0.694,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2105-10-314-2-3.jpg
660800057,FALSE,finalized,2,1/27/15 13:20,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2148-5-24-1-4.jpg
660800058,FALSE,finalized,2,1/27/15 17:07,"No, wrong category",1,[DRUS] Ultrasound,,http://fast.hevs.ch/images/subfigures/1479-5876-9-182-2-9.jpg
660800059,FALSE,finalized,2,1/27/15 16:14,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1743-0003-6-10-2-6.jpg
660800060,TRUE,golden,153,,"Yes, perfect classification",0.9597,"[GFIG] Statistical figures, graphs, charts","Yes, perfect classification",http://fast.hevs.ch/images/subfigures/1471-2288-10-28-1-12.jpg
660800061,FALSE,finalized,3,1/27/15 17:08,"Yes, perfect classification",0.6546,[DMTR] Transmission microscopy,,http://fast.hevs.ch/images/subfigures/1471-213X-11-9-5-3.jpg
660800062,FALSE,finalized,2,1/27/15 14:19,"No, wrong category",1,[GTAB] Tables and forms,,http://fast.hevs.ch/images/subfigures/1479-0556-6-13-1-1.jpg
660800063,FALSE,finalized,3,1/27/15 13:32,"No, wrong category",0.6773,[DMEL] Electron microscopy,,http://fast.hevs.ch/images/subfigures/1471-2229-11-128-8-4.jpg
660800064,FALSE,finalized,3,1/27/15 15:56,"No, wrong category",0.6404,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2105-8-416-2-2.jpg
660800065,FALSE,finalized,2,1/27/15 14:46,"No, wrong category",1,[GTAB] Tables and forms,,http://fast.hevs.ch/images/subfigures/1471-2202-11-9-5-9.jpg
660800066,FALSE,finalized,2,1/27/15 14:47,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/gb-2009-10-12-r136-4-1.jpg
660800067,FALSE,finalized,2,1/27/15 14:43,"No, wrong category",1,[DRMR] Magnetic Resonance,,http://fast.hevs.ch/images/subfigures/1743-8977-7-15-4-4.jpg
660800068,FALSE,finalized,2,1/27/15 14:07,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1471-2148-11-13-1-1.jpg
660800069,FALSE,finalized,3,1/27/15 14:33,"Yes, perfect classification",0.6681,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/bcr2833-6-2.jpg
660800070,FALSE,finalized,2,1/27/15 14:41,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1477-7525-4-18-2-1.jpg
660800071,FALSE,finalized,3,1/27/15 15:53,"Yes, perfect classification",0.3411,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2148-10-357-3-1.jpg
660800072,FALSE,finalized,2,1/27/15 13:27,"No, wrong category",1,[GFLO] Flowcharts,,http://fast.hevs.ch/images/subfigures/1471-2202-7-2-2-6.jpg
660800073,FALSE,finalized,3,1/27/15 16:43,Compound image,0.3457,[DMTR] Transmission microscopy,,http://fast.hevs.ch/images/subfigures/1476-4598-8-110-5-4.jpg
660800074,FALSE,finalized,3,1/27/15 15:00,"Yes, perfect classification",0.3504,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1476-4598-10-139-4-4.jpg
660800075,FALSE,finalized,2,1/27/15 13:10,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2105-6-57-2-1.jpg
660800076,FALSE,finalized,2,1/27/15 12:27,"No, wrong category",1,[DVOR] Other organs,,http://fast.hevs.ch/images/subfigures/1471-2202-11-62-7-15.jpg
660800077,FALSE,finalized,3,1/27/15 13:46,"No, wrong category",0.687,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2156-4-S1-S41-1-1.jpg
660800078,FALSE,finalized,2,1/27/15 13:13,"No, wrong category",1,[DRUS] Ultrasound,,http://fast.hevs.ch/images/subfigures/1471-2121-10-83-4-8.jpg
660800079,FALSE,finalized,3,1/27/15 17:14,"Yes, perfect classification",0.3629,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1749-7922-4-45-1-2.jpg
660800080,FALSE,finalized,2,1/27/15 17:27,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1472-6750-6-51-3-1.jpg
660800081,FALSE,finalized,3,1/27/15 14:37,"Yes, perfect classification",0.6924,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1479-5876-9-176-1-5.jpg
660800082,FALSE,finalized,2,1/27/15 12:44,"No, wrong category",1,[GGEN] Gene sequence,,http://fast.hevs.ch/images/subfigures/1471-2148-10-286-2-6.jpg
660800083,FALSE,finalized,2,1/27/15 14:47,"No, wrong category",1,[DMLI] Light microscopy,,http://fast.hevs.ch/images/subfigures/1471-2261-5-6-2-12.jpg
660800084,FALSE,finalized,2,1/27/15 14:07,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2121-8-36-4-1.jpg
660800085,FALSE,finalized,2,1/27/15 14:37,"Yes, perfect classification",1,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1471-2261-3-4-8-2.jpg
660800086,FALSE,finalized,3,1/27/15 15:13,"Yes, perfect classification",0.6274,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2199-9-5-4-3.jpg
660800087,FALSE,finalized,2,1/27/15 13:07,"No, wrong category",1,[GFLO] Flowcharts,,http://fast.hevs.ch/images/subfigures/1471-2105-9-48-2-2.jpg
660800088,FALSE,finalized,2,1/27/15 13:00,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2229-9-58-1-1.jpg
660800089,FALSE,finalized,3,1/27/15 13:20,"No, wrong category",0.6814,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2105-5-30-6-7.jpg
660800090,FALSE,finalized,3,1/27/15 13:40,"No, wrong category",0.6964,[GSCR] Screenshots,,http://fast.hevs.ch/images/subfigures/gb-2006-7-8-404-1-2.jpg
660800091,FALSE,finalized,2,1/27/15 13:04,"Yes, perfect classification",1,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1471-2199-5-9-1-5.jpg
660800092,FALSE,finalized,2,1/27/15 16:23,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1471-2164-11-6-2-8.jpg
660800093,FALSE,finalized,3,1/27/15 14:47,"Yes, perfect classification",0.6529,[DVOR] Other organs,,http://fast.hevs.ch/images/subfigures/1749-8090-5-53-1-3.jpg
660800094,FALSE,finalized,2,1/27/15 17:06,"No, wrong category",1,"[DVDM] Dermatology, skin",,http://fast.hevs.ch/images/subfigures/1756-8722-1-7-2-2.jpg
660800095,FALSE,finalized,2,1/27/15 15:29,"No, wrong category",1,[DRMR] Magnetic Resonance,,http://fast.hevs.ch/images/subfigures/1744-9081-6-70-2-2.jpg
660800096,FALSE,finalized,3,1/27/15 13:04,"Yes, perfect classification",0.6739,[DRMR] Magnetic Resonance,,http://fast.hevs.ch/images/subfigures/1471-2202-10-68-3-3.jpg
660800097,FALSE,finalized,2,1/27/15 16:59,"No, wrong category",1,[DRUS] Ultrasound,,http://fast.hevs.ch/images/subfigures/1471-2199-8-106-6-1.jpg
660800098,FALSE,finalized,3,1/27/15 15:10,"Yes, perfect classification",0.6652,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2202-9-27-12-2.jpg
660800099,FALSE,finalized,3,1/27/15 14:55,"Yes, perfect classification",0.6394,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1744-9081-7-1-4-2.jpg
660800100,FALSE,finalized,2,1/27/15 14:49,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1471-2105-9-301-3-1.jpg
660800101,FALSE,finalized,2,1/27/15 13:24,"No, wrong category",1,[GNCP] Non-clinical photos,,http://fast.hevs.ch/images/subfigures/1471-2148-8-328-7-3.jpg
660800102,FALSE,finalized,2,1/27/15 15:24,"No, wrong category",1,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/DRP2010-212439-8.002.jpg
660800103,FALSE,finalized,2,1/27/15 13:08,"No, wrong category",1,[DRCT] Computerized Tomography,,http://fast.hevs.ch/images/subfigures/1471-2105-8-481-4-1.jpg
660800104,FALSE,finalized,2,1/27/15 16:41,"Yes, perfect classification",1,[GTAB] Tables and forms,,http://fast.hevs.ch/images/subfigures/cc5062-1-1.jpg
660800105,FALSE,finalized,2,1/27/15 15:37,"No, wrong category",1,[DVOR] Other organs,,http://fast.hevs.ch/images/subfigures/1756-9966-29-68-1-2.jpg
660800106,FALSE,finalized,2,1/27/15 17:01,"Yes, perfect classification",1,[DMFL] Fluorescence microscopy,,http://fast.hevs.ch/images/subfigures/1475-2840-8-56-1-8.jpg
660800107,FALSE,finalized,2,1/27/15 15:39,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2407-9-158-5-2.jpg
660800108,FALSE,finalized,2,1/27/15 13:50,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2407-10-468-3-2.jpg
660800109,FALSE,finalized,2,1/27/15 16:42,"No, wrong category",1,[GNCP] Non-clinical photos,,http://fast.hevs.ch/images/subfigures/1471-2202-4-16-9-8.jpg
660800110,FALSE,finalized,2,1/27/15 13:01,"Yes, perfect classification",1,[DMFL] Fluorescence microscopy,,http://fast.hevs.ch/images/subfigures/1471-2202-11-72-6-3.jpg
660800111,FALSE,finalized,2,1/27/15 13:21,"No, wrong category",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2105-5-30-6-6.jpg
660800112,FALSE,finalized,2,1/27/15 12:55,"No, wrong category",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2105-9-S4-S13-7-1.jpg
660800113,FALSE,finalized,2,1/27/15 17:05,"No, wrong category",1,[DRUS] Ultrasound,,http://fast.hevs.ch/images/subfigures/1756-6614-3-1-3-4.jpg
660800114,FALSE,finalized,3,1/27/15 16:01,"No, wrong category",0.3531,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2180-9-187-3-4.jpg
660800115,FALSE,finalized,2,1/27/15 13:12,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1471-2199-8-32-3-2.jpg
660800116,FALSE,finalized,2,1/27/15 12:58,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2164-11-704-3-3.jpg
660800117,FALSE,finalized,2,1/27/15 13:32,"No, wrong category",1,[DRMR] Magnetic Resonance,,http://fast.hevs.ch/images/subfigures/1471-2121-7-32-4-3.jpg
660800118,FALSE,finalized,2,1/27/15 16:23,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1476-4598-4-39-3-2.jpg
660800119,FALSE,finalized,2,1/27/15 15:15,"No, wrong category",1,[GSCR] Screenshots,,http://fast.hevs.ch/images/subfigures/1465-9921-8-73-3-6.jpg
660800120,FALSE,finalized,2,1/27/15 13:31,"Yes, perfect classification",1,[DMLI] Light microscopy,,http://fast.hevs.ch/images/subfigures/1471-213X-7-69-2-12.jpg
660800121,FALSE,finalized,2,1/27/15 14:48,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1471-2105-9-343-8-4.jpg
660800122,FALSE,finalized,2,1/27/15 13:56,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1471-2180-10-56-5-2.jpg
660800123,FALSE,finalized,2,1/27/15 14:44,"No, wrong category",1,[DRCT] Computerized Tomography,,http://fast.hevs.ch/images/subfigures/1749-8104-6-32-4-5.jpg
660800124,FALSE,finalized,2,1/27/15 16:31,"No, wrong category",1,[GSCR] Screenshots,,http://fast.hevs.ch/images/subfigures/DRP2010-405262-2.001.jpg
660800125,FALSE,finalized,2,1/27/15 13:52,"No, wrong category",1,[GSYS] System overviews,,http://fast.hevs.ch/images/subfigures/1472-6785-10-7-4-4.jpg
660800126,FALSE,finalized,3,1/27/15 15:55,"Yes, perfect classification",0.6698,[DMLI] Light microscopy,,http://fast.hevs.ch/images/subfigures/1477-7819-9-58-1-4.jpg
660800127,FALSE,finalized,2,1/27/15 15:25,"Yes, perfect classification",1,[DMLI] Light microscopy,,http://fast.hevs.ch/images/subfigures/1465-9921-8-73-4-4.jpg
660800128,FALSE,finalized,3,1/27/15 15:03,"No, wrong category",0.6786,[DMTR] Transmission microscopy,,http://fast.hevs.ch/images/subfigures/1471-2350-6-26-3-2.jpg
660800129,FALSE,finalized,2,1/27/15 12:53,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1475-2875-8-35-1-2.jpg
660800130,FALSE,finalized,3,1/27/15 14:43,"No, wrong category",0.6365,[GFLO] Flowcharts,,http://fast.hevs.ch/images/subfigures/1471-2229-10-269-2-4.jpg
660800131,FALSE,finalized,3,1/27/15 14:19,"No, wrong category",0.6525,[DRMR] Magnetic Resonance,,http://fast.hevs.ch/images/subfigures/1471-2121-12-1-3-2.jpg
660800132,FALSE,finalized,2,1/27/15 17:16,"Yes, perfect classification",1,[DMFL] Fluorescence microscopy,,http://fast.hevs.ch/images/subfigures/1742-4690-6-112-4-11.jpg
660800133,FALSE,finalized,3,1/27/15 14:31,Compound image,0.6667,"[GGEL] Chromatography, Gel",,http://fast.hevs.ch/images/subfigures/1471-2407-8-247-1-3.jpg
660800134,FALSE,finalized,2,1/27/15 14:13,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2229-9-44-4-6.jpg
660800135,FALSE,finalized,2,1/27/15 16:42,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2091-2-6-2-5.jpg
660800136,FALSE,finalized,2,1/27/15 12:57,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2105-11-539-2-4.jpg
660800137,FALSE,finalized,2,1/27/15 13:14,"Yes, perfect classification",1,[DMLI] Light microscopy,,http://fast.hevs.ch/images/subfigures/1476-7120-3-6-4-6.jpg
660800138,FALSE,finalized,2,1/27/15 13:45,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/gb-2004-5-3-r18-4-8.jpg
660800139,FALSE,finalized,2,1/27/15 14:15,"No, wrong category",1,[GTAB] Tables and forms,,http://fast.hevs.ch/images/subfigures/1472-6807-10-23-4-4.jpg
660800140,FALSE,finalized,3,1/27/15 15:59,"Yes, perfect classification",0.3489,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1471-2350-8-26-1-1.jpg
660800141,FALSE,finalized,2,1/27/15 16:44,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1476-072X-7-58-3-1.jpg
660800142,FALSE,finalized,2,1/27/15 12:33,"No, wrong category",1,[DRCT] Computerized Tomography,,http://fast.hevs.ch/images/subfigures/1744-9081-6-70-5-3.jpg
660800143,FALSE,finalized,2,1/27/15 14:30,"Yes, perfect classification",1,"[GFIG] Statistical figures, graphs, charts",,http://fast.hevs.ch/images/subfigures/1465-9921-12-28-3-5.jpg
