subject,modeldate,party,startdate,enddate,pollster,grade,samplesize,population,weight,influence,multiversions,tracking,approve,disapprove,approve_adjusted,disapprove_adjusted,timestamp,url
Biden,2022-05-01,D,2021-24-01,2021-26-01,YouGov,B+,477,a,0.62852377,0,,,84,3,86.79684,2.5399836,2022-05-01 09:17,https://docs.cdn.yougov.com/ld46rgtdlz/econTabReport.pdf
Biden,2022-05-01,D,2021-28-01,2021-01-02,Quinnipiac University,A-,333.25,a,0.63171525,0,,,93,5,91.631675,5.9773961,2022-05-01 09:17,https://poll.qu.edu/national/release-detail?ReleaseID=3688
Biden,2022-05-01,D,2021-29-01,2021-01-02,Morning Consult,B,808,rv,0.83374667,0,,,89,7,90.641575,6.0631371,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2021/02/03074817/2101110_crosstabs_POLITICO_RVs_v1.pdf
Biden,2022-05-01,D,2021-31-01,2021-02-02,YouGov,B+,484,a,0.54932427,0,,,88,7,90.79684,6.5399836,2022-05-01 09:17,https://docs.cdn.yougov.com/460mactkmh/econTabReport.pdf
Biden,2022-05-01,D,2021-02-02,2021-02-02,Data for Progress,B,564,a,0.88839773,0,,,89.22,7.14,89.675118,6.6671697,2022-05-01 09:17,https://docs.google.com/spreadsheets/d/1dmzc8DpmtpppErDUVQWbqO9WofnPnccC4fQz2vEWDww/edit#gid=0
Biden,2022-05-01,D,2021-05-02,2021-07-02,YouGov,B+,336,a,0.35218737,0,,,88,8,90.79684,7.5399836,2022-05-01 09:17,https://big.assets.huffingtonpost.com/athena/files/2021/02/11/6025c47bc5b6741597e0e0f2.pdf
Biden,2022-05-01,D,2021-06-02,2021-09-02,YouGov,B+,566,a,0.57737008,0,,,89,5,91.79684,4.5399836,2022-05-01 09:17,https://docs.cdn.yougov.com/rqqxdo2ujy/econTabReport.pdf
Biden,2022-05-01,D,2021-03-02,2021-18-02,Gallup,B+,326,a,0.64281755,0,,,95,5,94.251129,4.8418039,2022-05-01 09:17,https://news.gallup.com/poll/329948/biden-gets-high-marks-covid-response.aspx
Biden,2022-05-01,D,2021-11-02,2021-15-02,Global Strategy Group/GBAO (Navigator Research),B/C,426.8,rv,0.55080056,0,,,93,3,92.700495,3.0268637,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Update-02.17.2021.pdf
Biden,2022-05-01,D,2021-11-02,2021-14-02,Quinnipiac University,A-,306.24,a,0.58374416,0,,,95,2,93.631675,2.9773961,2022-05-01 09:17,https://poll.qu.edu/national/release-detail?ReleaseID=3692
