subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Biden,2022-05-01,D,83.16254,12.543909,2022-05-01 09:17
Trump,2022-05-01,D,9.4143635,87.934516,2022-05-01 09:17
Biden,2022-05-01,I,41.121131,50.880814,2022-05-01 09:17
Trump,2022-05-01,I,35.912502,57.484054,2022-05-01 09:17
Biden,2022-05-01,R,17.671334,78.940418,2022-05-01 09:17
Trump,2022-05-01,R,76.792488,19.971529,2022-05-01 09:17
Biden,2022-05-01,all,47.645665,46.081454,2022-05-01 09:17
Trump,2022-05-01,all,38.940859,57.001143,2022-05-01 09:17
Biden,2022-04-01,all,47.770516,46.074539,2022-04-01 09:06
Trump,2022-04-01,I,35.912502,57.484054,2022-04-01 09:05
Trump,2022-04-01,R,76.792488,19.971529,2022-04-01 09:05
Biden,2022-04-01,D,83.053862,12.86173,2022-04-01 09:05
Trump,2022-04-01,all,38.940859,57.001143,2022-04-01 09:06
Trump,2022-04-01,D,9.4143635,87.934516,2022-04-01 09:05
Biden,2022-04-01,R,17.920192,78.530898,2022-04-01 09:05
Biden,2022-04-01,I,41.500185,50.50257,2022-04-01 09:05
Trump,2022-03-01,D,9.4143635,87.934516,2022-04-01 09:05
Biden,2022-03-01,all,47.770516,46.074539,2022-04-01 09:06
Biden,2022-03-01,R,17.920192,78.530898,2022-04-01 09:05
Trump,2022-03-01,all,38.940859,57.001143,2022-04-01 09:06
Biden,2022-03-01,D,83.053862,12.86173,2022-04-01 09:05
Biden,2022-03-01,I,41.500185,50.50257,2022-04-01 09:05
Trump,2022-03-01,R,76.792488,19.971529,2022-04-01 09:05
Trump,2022-03-01,I,35.912502,57.484054,2022-04-01 09:05
Biden,2022-02-01,D,83.053862,12.86173,2022-04-01 09:05
Trump,2022-02-01,R,76.792488,19.971529,2022-04-01 09:05
Biden,2022-02-01,all,47.770516,46.074539,2022-04-01 09:06
Trump,2022-02-01,all,38.940859,57.001143,2022-04-01 09:06
Biden,2022-02-01,I,41.500185,50.50257,2022-04-01 09:05
Trump,2022-02-01,I,35.912502,57.484054,2022-04-01 09:05
Biden,2022-02-01,R,17.920192,78.530898,2022-04-01 09:05
Trump,2022-02-01,D,9.4143635,87.934516,2022-04-01 09:05
Biden,2022-01-01,I,41.500185,50.50257,2022-04-01 09:05
Trump,2022-01-01,D,9.4143635,87.934516,2022-04-01 09:05
Biden,2022-01-01,R,17.920192,78.530898,2022-04-01 09:05
Trump,2022-01-01,I,35.912502,57.484054,2022-04-01 09:05
Biden,2022-01-01,D,83.053862,12.86173,2022-04-01 09:05
Trump,2022-01-01,R,76.792488,19.971529,2022-04-01 09:05
Trump,2022-01-01,all,38.940859,57.001143,2022-04-01 09:06
Biden,2022-01-01,all,47.770516,46.074539,2022-04-01 09:06
Biden,2021-31-12,D,83.053862,12.86173,2022-04-01 09:05
Trump,2021-31-12,D,9.4143635,87.934516,2022-04-01 09:05
Trump,2021-31-12,R,76.792488,19.971529,2022-04-01 09:06
Biden,2021-31-12,all,47.770516,46.074539,2022-04-01 09:06
Trump,2021-31-12,all,38.940859,57.001143,2022-04-01 09:06
Biden,2021-31-12,I,41.500185,50.50257,2022-04-01 09:05
Trump,2021-31-12,I,35.912502,57.484054,2022-04-01 09:05
Biden,2021-31-12,R,17.920192,78.530898,2022-04-01 09:05
Biden,2021-30-12,D,83.053862,12.86173,2021-30-12 09:25
Trump,2021-30-12,D,9.4143635,87.934516,2021-30-12 09:25
Biden,2021-30-12,I,41.500185,50.50257,2021-30-12 09:25
Trump,2021-30-12,I,35.912502,57.484054,2021-30-12 09:25
Biden,2021-30-12,R,17.920192,78.530898,2021-30-12 09:25
Trump,2021-30-12,R,76.792488,19.971529,2021-30-12 09:25
Biden,2021-30-12,all,48.031221,45.406939,2021-30-12 09:25
Trump,2021-30-12,all,38.940859,57.001143,2021-30-12 09:25
Trump,2021-29-12,I,35.912502,57.484054,2021-30-12 00:38
Biden,2021-29-12,all,47.937944,45.593381,2021-30-12 00:38
Biden,2021-29-12,I,41.482005,50.522976,2021-30-12 00:38
Trump,2021-29-12,R,76.792488,19.971529,2021-30-12 00:38
Trump,2021-29-12,all,38.940859,57.001143,2021-30-12 00:38
Biden,2021-29-12,R,17.494898,78.724277,2021-30-12 00:38
Biden,2021-29-12,D,83.399908,12.334316,2021-30-12 00:38
Trump,2021-29-12,D,9.4143635,87.934516,2021-30-12 00:38
Biden,2021-28-12,D,83.399908,12.334316,2021-28-12 05:48
Trump,2021-28-12,D,9.4143635,87.934516,2021-28-12 05:48
Biden,2021-28-12,I,41.482005,50.522976,2021-28-12 05:48
Trump,2021-28-12,I,35.912502,57.484054,2021-28-12 05:48
Biden,2021-28-12,R,17.494898,78.724277,2021-28-12 05:48
Trump,2021-28-12,R,76.792488,19.971529,2021-28-12 05:48
Biden,2021-28-12,all,47.937944,45.593381,2021-28-12 05:48
Trump,2021-28-12,all,38.940859,57.001143,2021-28-12 05:49
Biden,2021-27-12,D,83.399908,12.334316,2021-27-12 08:52
Trump,2021-27-12,D,9.4143635,87.934516,2021-27-12 08:52
Biden,2021-27-12,I,41.482005,50.522976,2021-27-12 08:52
Trump,2021-27-12,I,35.912502,57.484054,2021-27-12 08:52
Biden,2021-27-12,R,17.494898,78.724277,2021-27-12 08:52
Trump,2021-27-12,R,76.792488,19.971529,2021-27-12 08:52
Biden,2021-27-12,all,47.937944,45.593381,2021-27-12 08:52
Trump,2021-27-12,all,38.940859,57.001143,2021-27-12 08:52
Biden,2021-26-12,R,17.494898,78.724277,2021-27-12 08:33
Trump,2021-26-12,I,35.912502,57.484054,2021-27-12 08:32
