subject,modeldate,party,startdate,enddate,pollster,grade,samplesize,population,weight,influence,multiversions,tracking,very,somewhat,not_very,not_at_all,very_adjusted,somewhat_adjusted,not_very_adjusted,not_at_all_adjusted,timestamp,url
concern-economy,2022-05-01,all,2020-27-01,2020-29-01,Morning Consult,B,2202,a,0.83062088,0,,,19,33,23,11,15.675954,36.575784,26.595179,11.630194,2022-05-01 09:17,https://morningconsult.com/wp-content/uploads/2020/02/200167_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf
concern-economy,2022-05-01,all,2020-31-01,2020-02-02,Morning Consult,B,2202,a,0.75642924,0,,,26,32,25,7,22.675954,35.575784,28.595179,7.6301942,2022-05-01 09:17,https://morningconsult.com/wp-content/uploads/2020/02/200191_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf
concern-economy,2022-05-01,all,2020-07-02,2020-09-02,Morning Consult,B,2200,a,0.69827065,0,,,23,32,24,9,19.675954,35.575784,27.595179,9.6301942,2022-05-01 09:17,https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf
concern-economy,2022-05-01,all,2020-13-02,2020-18-02,Kaiser Family Foundation,,1207,a,1.8669666,0,,,22,35,28,15,26.94042,33.170763,25.812578,13.449881,2022-05-01 09:17,http://files.kff.org/attachment/Topline-KFF-Health-Tracking-Poll-February-2020
concern-economy,2022-05-01,all,2020-24-02,2020-26-02,Morning Consult,B,2200,a,0.48446321,0,,,32,37,18,6,28.675954,40.575784,21.595179,6.6301942,2022-05-01 09:17,https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-27-02,2020-27-02,SurveyMonkey Audience,,1051,a,0.85379554,0,,,41,37,14,5,39.791702,36.490195,15.293783,5.63249,2022-05-01 09:17,https://markets.businessinsider.com/news/stocks/large-majority-of-americans-economy-massive-hit-from-coronavirus-2020-3-1028959079
concern-economy,2022-05-01,all,2020-28-02,2020-01-03,Morning Consult,B,2201,a,0.43026137,0,,,38,33,13,5,34.675954,36.575784,16.595179,5.6301942,2022-05-01 09:17,https://morningconsult.com/wp-content/uploads/2020/03/200271_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf
concern-economy,2022-05-01,all,2020-02-03,2020-03-03,Public Policy Polling,A-,866,rv,1.4701379,0,,,36,36,21,6,37.251833,35.724255,19.628075,6.0446085,2022-05-01 09:17,https://www.protectourcare.org/wp-content/uploads/2020/03/Coronavirus-Poll-Memo-And-Results-3-20.pdf
concern-economy,2022-05-01,all,2020-03-03,2020-05-03,Morning Consult,B,1990,rv,0.35984993,0,,,38,37,12,5,34.675954,40.575784,15.595179,5.6301942,2022-05-01 09:17,https://morningconsult.com/wp-content/uploads/2020/03/200311_crosstabs_CORONAVIRUS_RVs_v3_YW.pdf
concern-economy,2022-05-01,all,2020-02-03,2020-05-03,SurveyMonkey,C,3744,a,0.58734343,0,,,34,40,19,6,29.087496,42.440398,20.575088,6.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/wsj-survey-coronavirus/
