subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-economy,2022-05-01,all,49.041857,35.450926,10.346955,3.7443655,2022-05-01 09:17
concern-infected,2022-05-01,all,24.49752,32.533456,26.25762,16.322401,2022-05-01 09:17
concern-economy,2022-04-01,all,49.041857,35.450926,10.346955,3.7443655,2022-04-01 09:06
concern-infected,2022-04-01,all,24.49752,32.533456,26.25762,16.322401,2022-04-01 09:06
concern-infected,2022-03-01,all,24.49752,32.533456,26.25762,16.322401,2022-04-01 09:06
concern-economy,2022-03-01,all,49.041857,35.450926,10.346955,3.7443655,2022-04-01 09:06
concern-economy,2022-02-01,all,49.041857,35.450926,10.346955,3.7443655,2022-04-01 09:06
concern-infected,2022-02-01,all,24.49752,32.533456,26.25762,16.322401,2022-04-01 09:06
concern-infected,2022-01-01,all,24.49752,32.533456,26.25762,16.322401,2022-04-01 09:06
concern-economy,2022-01-01,all,49.041857,35.450926,10.346955,3.7443655,2022-04-01 09:06
concern-economy,2021-31-12,all,49.041857,35.450926,10.346955,3.7443655,2022-04-01 09:06
concern-infected,2021-31-12,all,24.49752,32.533456,26.25762,16.322401,2022-04-01 09:06
concern-economy,2021-30-12,all,49.041857,35.450926,10.346955,3.7443655,2021-30-12 09:25
concern-infected,2021-30-12,all,24.49752,32.533456,26.25762,16.322401,2021-30-12 09:25
concern-economy,2021-29-12,all,49.041857,35.450926,10.346955,3.7443655,2021-30-12 00:38
concern-infected,2021-29-12,all,24.49752,32.533456,26.25762,16.322401,2021-30-12 00:38
concern-economy,2021-28-12,all,49.041857,35.450926,10.346955,3.7443655,2021-28-12 05:49
concern-infected,2021-28-12,all,24.49752,32.533456,26.25762,16.322401,2021-28-12 05:49
concern-economy,2021-27-12,all,49.041857,35.450926,10.346955,3.7443655,2021-27-12 08:52
concern-infected,2021-27-12,all,24.49752,32.533456,26.25762,16.322401,2021-27-12 08:52
concern-economy,2021-26-12,all,49.041857,35.450926,10.346955,3.7443655,2021-27-12 08:33
concern-infected,2021-26-12,all,24.49752,32.533456,26.25762,16.322401,2021-27-12 08:34
concern-infected,2021-25-12,all,24.49752,32.533456,26.25762,16.322401,2021-27-12 08:34
concern-economy,2021-25-12,all,49.041857,35.450926,10.346955,3.7443655,2021-27-12 08:33
concern-economy,2021-24-12,D,49.041857,35.450926,10.346955,3.7443655,2021-27-12 08:32
concern-economy,2021-24-12,all,49.041857,35.450926,10.346955,3.7443655,2021-27-12 08:33
concern-infected,2021-24-12,all,24.49752,32.533456,26.25762,16.322401,2021-27-12 08:34
concern-infected,2021-24-12,I,24.49752,32.533456,26.25762,16.322401,2021-27-12 08:32
concern-infected,2021-23-12,I,24.49752,32.533456,26.25762,16.322401,2021-27-12 08:32
concern-economy,2021-23-12,D,49.041857,35.450926,10.346955,3.7443655,2021-27-12 08:32
concern-economy,2021-23-12,all,49.041857,35.450926,10.346955,3.7443655,2021-27-12 08:33
concern-infected,2021-23-12,all,24.49752,32.533456,26.25762,16.322401,2021-27-12 08:34
concern-economy,2021-22-12,all,49.041857,35.450926,10.346955,3.7443655,2021-22-12 12:22
concern-infected,2021-22-12,all,24.49752,32.533456,26.25762,16.322401,2021-22-12 12:22
concern-economy,2021-21-12,all,49.041857,35.450926,10.346955,3.7443655,2021-21-12 20:07
concern-infected,2021-21-12,all,24.525285,32.476266,26.226977,16.381556,2021-21-12 20:07
concern-infected,2021-20-12,all,24.525285,32.476266,26.226977,16.381556,2021-21-12 09:39
concern-economy,2021-20-12,all,49.041857,35.450926,10.346955,3.7443655,2021-21-12 09:39
concern-infected,2021-19-12,all,24.525285,32.476266,26.226977,16.381556,2021-21-12 09:39
concern-economy,2021-19-12,all,49.041857,35.450926,10.346955,3.7443655,2021-21-12 09:39
concern-infected,2021-18-12,all,24.525285,32.476266,26.226977,16.381556,2021-21-12 09:39
concern-economy,2021-18-12,all,49.041857,35.450926,10.346955,3.7443655,2021-21-12 09:39
concern-economy,2021-17-12,all,49.041857,35.450926,10.346955,3.7443655,2021-21-12 09:39
concern-infected,2021-17-12,all,24.525285,32.476266,26.226977,16.381556,2021-21-12 09:39
concern-economy,2021-16-12,all,49.041857,35.450926,10.346955,3.7443655,2021-16-12 00:17
concern-infected,2021-16-12,all,24.525285,32.476266,26.226977,16.381556,2021-16-12 00:17
concern-economy,2021-15-12,all,49.041857,35.450926,10.346955,3.7443655,2021-15-12 20:24
concern-infected,2021-15-12,all,24.525285,32.476266,26.226977,16.381556,2021-15-12 20:24
