Entity,Seventy_plus,fifty_sixtynine,fifteen_fortynine,five_fourteen
Angola,162.1177998,388.3259004,652.8262983,31.21842216
Cote d'Ivoire,284.8261942,652.633231,1068.195462,41.5826822
Equatorial Guinea,6.872195148,19.05843088,22.20218207,0.747283882
Guyana,8.94747853,48.29544643,158.7777072,4.048946693
Kazakhstan,261.8016221,1026.064616,3124.047291,48.65989295
Lithuania,162.4801229,407.0222702,519.8098025,2.398321147
Mongolia,12.29998868,69.41809729,530.4370218,13.74069363
South Korea,4100.514561,5441.485801,6560.790417,29.68617692
Sri Lanka,752.613785,1393.76167,2801.154666,29.07720501
Suriname,11.14661187,30.14039588,87.12615351,2.72832104
