Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,Income,Education_Score,Age,First_Interaction,City_Type,Employer_Category
485683,0,0,0,0,None,None,None,2003-04-06,,
485679,0,0,0,0,1,None,40,2003-07-20,H,Software Industry
485678,0,0,0,0,1,90,39,2003-06-18,,Software Industry
485680,0,0,0,0,3,87,46,2002-11-02,D,BFSI
485681,0,0,0,0,1,75,47,2002-11-02,D,Education
485682,0,0,0,0,3,None,80,2002-11-24,H,Others
485684,0,0,0,0,None,None,None,2003-04-26,,
485685,0,0,0,0,None,None,None,2003-04-05,,
485686,0,0,0,0,None,None,None,2003-04-10,F,
485689,0,1,1,0,4,72,58,2003-06-08,G,Technology
485690,0,1,0,0,0,None,48,2003-05-31,B,
485691,0,1,0,1,1,75,42,2003-04-12,B,Education
485693,0,0,0,0,None,73.85333333,52,2003-07-06,B,Consulting
485694,0,0,0,0,None,None,None,2003-07-04,G,
485695,0,0,0,0,1,67,56,2003-03-06,F,Technology
485696,0,0,0,0,None,None,None,2003-07-07,,
485697,0,0,0,0,None,None,None,2003-07-06,,
485698,0,0,0,0,0,None,49,2003-07-12,F,Consulting
485699,1,1,1,0,0,None,38,2002-11-09,G,
485700,0,0,0,0,None,None,None,2003-07-08,E,
485701,0,0,0,0,0,None,46,2003-07-06,H,Others
485702,0,0,0,0,2,79,45,2003-02-08,G,BFSI
485703,0,0,0,0,None,None,None,2003-04-06,B,
485704,0,0,0,0,None,None,None,2003-07-04,H,
485705,0,0,0,0,None,None,None,2003-07-05,,
485706,0,0,0,0,None,None,None,2003-07-06,G,
485707,0,0,0,0,None,None,None,2002-11-03,B,
485708,0,0,0,0,3,None,51,2003-07-04,E,Technology
485709,0,0,0,0,0,None,50,2003-07-02,F,
485711,1,1,0,1,3,83.75666667,43,2003-04-21,B,Manufacturing
485712,0,0,0,0,None,None,None,2003-05-11,G,
485713,0,0,0,0,None,None,None,2003-07-06,D,
485714,0,0,0,0,None,None,None,2003-02-08,B,
485715,0,1,0,1,0,None,39,2003-02-07,H,
485716,0,0,0,0,2,None,48,2003-03-06,G,Consulting
485717,0,0,0,0,0,None,53,2003-07-08,B,Technology
485718,0,0,1,0,2,None,41,2003-03-06,D,Software Industry
485719,0,0,0,0,0,None,39,2003-07-16,G,
485720,0,0,0,0,None,None,None,2002-12-17,B,
485721,0,1,1,0,0,None,41,2003-05-09,I,Technology
485722,0,0,0,0,0,None,42,2003-05-28,B,
485724,0,0,0,0,0,None,44,2003-07-17,B,
485725,0,0,0,0,None,None,None,2003-07-04,H,
485726,0,0,0,0,None,None,None,2002-12-25,B,
485727,0,0,0,0,None,None,None,2003-06-03,,
485728,0,0,0,0,None,None,None,2003-06-20,G,
485729,0,0,0,0,None,None,None,2003-02-08,B,
485730,0,0,0,0,0,None,43,2003-04-30,A,
485731,0,0,0,0,None,None,None,2003-07-19,,
485733,0,0,0,0,1,None,47,2003-03-06,G,Others
485734,0,0,0,0,0,None,39,2003-07-06,D,Software Industry
485735,0,1,0,0,0,None,42,2003-07-02,B,Consulting
485736,0,0,0,0,None,None,None,2003-06-26,,
485737,0,1,0,0,0,None,66,2003-04-06,G,Others
485738,0,0,0,0,1,71,42,2003-07-04,G,Technology
485739,0,1,0,0,2,69,47,2003-07-04,F,Education
485740,0,0,0,0,None,None,None,2003-07-23,B,
485741,0,1,1,1,3,None,50,2003-07-04,A,Consulting
485742,0,0,0,0,None,None,None,2003-07-06,D,
485743,0,0,0,0,3,None,47,2003-07-24,B,Manufacturing
485744,0,1,0,0,2,None,44,2003-06-26,G,Consulting
485745,0,0,0,0,0,None,39,2003-04-04,G,Software Industry
485746,0,0,0,0,None,None,None,2003-07-06,B,
485747,0,0,0,0,None,None,None,2003-07-24,G,
485748,0,0,0,0,1,84,38,2003-07-06,C,
485749,0,0,0,0,None,None,None,2003-07-25,,
485750,0,0,0,0,None,None,None,2003-07-23,B,
485751,0,0,0,0,None,None,41,2003-07-23,B,
485753,0,0,0,0,None,None,None,2003-07-23,,
485754,0,0,0,0,0,None,45,2003-07-25,G,Technology
485756,0,0,0,0,None,None,None,2003-07-06,,
485757,0,0,0,0,None,None,None,2003-04-06,B,
485758,0,0,0,0,None,None,None,2003-07-26,G,
485760,0,0,0,0,0,None,43,2003-07-04,D,Others
485761,1,1,1,1,1,None,42,2003-04-26,I,Technology
485763,0,0,0,0,2,None,39,2003-07-02,B,Software Industry
485764,0,0,0,0,None,None,None,2002-11-29,,
485765,0,0,0,0,3,None,49,2003-03-06,,Consulting
485766,0,0,0,0,0,None,37,2003-02-08,H,
485767,0,0,0,0,0,None,None,2003-08-06,A,
485768,0,0,0,0,None,None,None,2003-08-06,,
485769,0,0,0,0,None,None,None,2003-08-06,H,
485770,0,0,0,0,None,None,None,2003-08-06,,
485771,0,0,0,0,1,None,42,2003-08-06,,Consulting
485774,0,0,0,0,None,None,None,2003-02-07,G,
485775,0,0,0,0,None,None,None,2003-08-05,,
485776,0,0,0,0,None,None,None,2003-01-02,,
485777,0,0,0,0,None,None,None,2003-08-05,,
485778,0,1,0,1,2,69,44,2003-08-05,G,Consulting
485779,0,0,0,0,None,None,None,2003-08-05,,
485780,0,0,0,0,0,None,38,2003-08-04,D,Education
485781,0,0,0,0,None,None,None,2003-07-31,,
485782,0,0,0,0,None,None,None,2003-02-08,C,
485783,0,0,0,0,None,None,None,2003-08-04,G,
485784,0,0,0,0,None,None,None,2003-03-06,A,
485785,1,1,0,0,3,82,49,2003-08-04,B,Consulting
485786,0,0,0,0,None,None,None,2003-08-03,D,
485787,0,0,0,0,None,None,None,2003-06-20,,
485788,0,0,0,0,None,None,None,2003-02-08,A,
