State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Footnote HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Footnote for percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate
AL,017000,ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE,"201 MONROE STREET, THE RSA TOWER,  SUITE 1200",MONTGOMERY,36104,3342065341,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1966,4,,4,,91,,5,,88,,4,,87,,4,,89,,82,,787,,26,
AL,017009,ENCOMPASS HEALTH HOME HEALTH,"2970 LORNA ROAD, STE 104",VESTAVIA HILLS,35216,2058242680,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/18/1973,4,,4,,91,,5,,90,,4,,87,,4,,90,,87,,309,,35,
AL,017013,KINDRED AT HOME,1239 RUCKER BLVD,ENTERPRISE,36330,3343470234,Official Health Agency,Yes,Yes,Yes,No,No,Yes,07/24/1975,4,,4,,92,,5,,92,,4,,89,,4,,90,,91,,274,,37,
AL,017014,AMEDISYS HOME HEALTH,68278 MAIN STREET,BLOUNTSVILLE,35031,8664864919,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/04/1975,4,,4,,90,,4,,87,,4,,88,,4,,86,,83,,128,,30,
AL,017016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,36330,3343474800,Local,Yes,Yes,Yes,Yes,Yes,Yes,06/09/1976,5,,5,,93,,5,,90,,5,,92,,4,,90,,87,,209,,33,
AL,017018,KINDRED AT HOME,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,35906,2564421138,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/01/1977,4,,4,,92,,5,,89,,4,,89,,4,,91,,89,,330,,29,
AL,017020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 204, BLDG 2",MOBILE,36609,2513800492,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/23/1977,4,,4,,92,,5,,89,,4,,90,,4,,89,,82,,345,,24,
AL,017024,SOUTHEAST ALABAMA HOMECARE,"1435 ROSS CLARK CIRCLE, SUITE 2",DOTHAN,36301,3347940591,Local,Yes,Yes,Yes,Yes,Yes,Yes,06/01/1978,4,,4,,90,,5,,87,,4,,89,,4,,88,,83,,457,,31,
AL,017025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,36609,2513439600,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/28/1978,4,,3,,88,,4,,86,,4,,85,,3,,85,,81,,304,,26,
AL,017026,KINDRED AT HOME,"2100 RIVERCHASE CTR, STE 450",HOOVER,35244,2057397800,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/29/1979,5,,5,,93,,5,,89,,4,,87,,4,,91,,85,,276,,26,
AL,017027,DECATUR MORGAN HOMECARE,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,35603,2563504182,Local,Yes,Yes,Yes,Yes,Yes,Yes,07/25/1979,4,,4,,90,,5,,88,,4,,87,,4,,87,,83,,612,,32,
AL,017028,CENTRAL ALABAMA HOME CARE,"3000 RIVERCHASE GALLERIA, STE 775",HOOVER,35244,2059774152,Visiting Nurse Association,Yes,Yes,Yes,Yes,Yes,Yes,06/01/1979,3,,3,,89,,3,,84,,4,,86,,3,,85,,78,,85,,24,
AL,017034,COMFORT CARE COASTAL HOME HEALTH,1390 NORTH MCKENZIE STREET,FOLEY,36535,2516214431,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/26/1981,4,,4,,91,,3,,86,,4,,86,,3,,86,,80,,365,,37,
AL,017035,INFIRMARY HOMECARE,1142-A MONTLIMAR DRIVE,MOBILE,36609,2514503300,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/20/1981,4,,4,,90,,4,,88,,4,,86,,3,,87,,81,,671,,30,
AL,017037,BAPTIST HOME HEALTH,"451 ST. LUKE'S DRIVE, SUITE 451",MONTGOMERY,36117,3343955100,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/01/1981,3,,3,,86,,4,,86,,3,,81,,3,,81,,79,,338,,26,
