reviews_count,postal_code,general_info,category,locality,breadcrumbs,average_rating,latitude,email,website,years_in_business,full_address,phone,payment_mode,price_range,geo,gallery,name,url,country,region,longitude,scraped_at,opening_hours,aka,street_address
3,30303,,Health & Wellness Products/Chiropractors & Chiropractic Services/Pain Management/Physical Therapists/Weight Control Services,Atlanta,Home/GA/Atlanta/Health Products/Wellness Plus Clinic,4.5,33.76014,life@wellnessplusatlanta.com,http://www.wellnessplusclinic.com,,"PostalAddress, US, 229 Peachtree St NE Ste 30361, Atlanta, GA, 30303",(404) 254-1187,"amex, carte blanche, company card, diners club, discover, jcb, mastercard, visa, all major credit cards, check, debit, insurance",,latitude: 33.76014 | longitude: -84.38643,,Wellness Plus Clinic,https://www.yellowpages.com/atlanta-ga/mip/wellness-plus-clinic-470502813,US,GA,-84.38643,2021-11-20 03:09:45,Mo-Fr 10:00-17:00,,229 Peachtree St NE Ste 30361
,11201,"Heights Aesthetic Laser Center, located in the Brooklyn Heights neighborhood of Brooklyn, is dedicated to providing patients with the best experience possible. The aesthetics practice in New York City provides personalized care in a warm and welcoming environment. 
The experienced providers at Heights Aesthetic Laser Center listen intently to their patients to fully understand their beauty concerns and goals. Patients can feel confident they are loved, heard, and appreciated. 
The full-service aesthetic practice offers many treatments and therapies to meet a wide range of beauty needs, including Botox® and fillers to smooth out lines and wrinkles, the Hollywood Laser Peel® for skin rejuvenation, and Genius™ RF microneedling to restore skin strength and elasticity. Heights Aesthetic Laser Center also offers laser hair removal and tattoo removal. 
To get rid of unwanted fat and improve muscle tone, Heights Aesthetic Laser Center offers innovative nonsurgical body contouring procedures with CoolSculpting® and EMSCULPT®. 
For personalized aesthetic care from experienced providers, call Heights Aesthetic Laser Center or book an appointment online today. ","Hair Removal/Beauty Salons/Physicians & Surgeons, Dermatology/Skin Care",Brooklyn,Home/NY/Brooklyn/Beauty Salons/Hair Removal/Heights Aesthetic Laser Center,,40.69469,info@heightsaestheticlasercenter.com,http://www.heightsaestheticlasercenter.com,10.0,"PostalAddress, US, 147 Montague St, Brooklyn, NY, 11201",(347) 246-5760,"master card, visa",,latitude: 40.69469 | longitude: -73.99344,,Heights Aesthetic Laser Center,https://www.yellowpages.com/brooklyn-ny/mip/heights-aesthetic-laser-center-470066948,US,NY,-73.99344,2021-11-20 03:10:17,Mo-Sa 10:00-19:00,,147 Montague St
,11209,,"Skin Care/Beauty Salons/Health & Wellness Products/Skin Care/Beauty Salons/Health & Wellness Products/Lasers/Massage Therapists/Medical Spas/Physicians & Surgeons, Cosmetic Surgery/Physicians & Surgeons, Dermatology",Brooklyn,Home/NY/Brooklyn/Skin Care/RINNOVA Medi Spa,,40.63264,rinnovany@gmail.com,http://www.rinnova.nyc,7.0,"PostalAddress, US, 7502 Colonial Rd, Brooklyn, NY, 11209",(347) 979-9262,"all major credit cards, check, debit, visa, mastercard, amex, discover",,latitude: 40.63264 | longitude: -74.03338,https://i3.ypcdn.com/blob/80889fde639ab8764cb6465aaf2406b052ba7864_400x260_crop.jpg~https://i1.ypcdn.com/blob/35a55606921b8c3a1275f28e7b4583d93a096a70_240x170_crop.jpg~https://i3.ypcdn.com/blob/942da4bf45716db5dd2b74c8a2901b90794abeb8_115x80_crop.jpg~https://i2.ypcdn.com/blob/ed10a613424a19e3edc0289fddd67487930e62f6_115x80_crop.jpg,RINNOVA Medi Spa,https://www.yellowpages.com/brooklyn-ny/mip/rinnova-medi-spa-507476906,US,NY,-74.03338,2021-11-20 03:10:18,Mo-Tu 11:00-19:00 | Th-Fr 11:00-19:00,,7502 Colonial Rd
,44136,,Optical Goods/Contact Lenses/Eyeglasses/Optical Goods/Contact Lenses/Eyeglasses/Opticians/Optometrists/Sunglasses,Strongsville,Home/OH/Strongsville/Optical Goods/Sears Optical,,41.31095,strongsville@patch.com,http://www.searsoptical.com,58.0,"PostalAddress, US, 17271 Southpark Ctr, Strongsville, OH, 44136",(440) 846-3640,"master card, visa, travelers checks, amex, cash, check, discover",,latitude: 41.31095 | longitude: -81.82129,https://i1.ypcdn.com/blob/6ae4ecfbb7f65d5cb3beb4eeac1ee311729623a7_400x260_crop.jpg,Sears Optical,https://www.yellowpages.com/strongsville-oh/mip/sears-optical-461806836,US,OH,-81.82129,2021-11-20 03:10:23,,Sears Holdings Corporation,17271 Southpark Ctr
1,70118,,Colleges & Universities/Hospitals/Private Schools (K-12)/Schools,New Orleans,Home/LA/New Orleans/Schools/Colleges & Universities/Tulane University,5,29.93661,apbanos@tulane.edu,http://tulane.edu,,"PostalAddress, US, 6823 Saint Charles Ave, New Orleans, LA, 70118",(504) 865-5000,,,latitude: 29.93661 | longitude: -90.12199,,Tulane University,https://www.yellowpages.com/new-orleans-la/mip/tulane-university-551204580?lid=1000570488605,US,LA,-90.12199,2021-11-20 03:10:55,Mo-Fr 08:30-17:00,,6823 Saint Charles Ave
2,85705,"Dermatology and Plastic Surgery of Arizona was founded by Christopher Weyer, DO and Jamie Moenster, DO as a comprehensive, dual specialty practice.  We are the first practice in southern Arizona to offer fellowship trained physicians in Mohs surgery and plastic and reconstructive surgery in one office. Together we can address all of your skin, cosmetic, and reconstructive needs with the highest standards of care and compassion.","Skin Care/Physicians & Surgeons/Physicians & Surgeons, Cosmetic Surgery/Physicians & Surgeons, Dermatology/Physicians & Surgeons, Plastic & Reconstructive",Tucson,Home/AZ/Tucson/Skin Care/Dermatology & Plastic Surgery of Arizona,5,32.28595,info@dermplasticsaz.com,http://www.dermplasticsaz.com,7.0,"PostalAddress, US, 698 E Wetmore Rd Ste 310, Tucson, AZ, 85705",(520) 207-3100,"cash, financing available, insurance, all major credit cards, visa, mastercard, amex, discover",,latitude: 32.28595 | longitude: -110.96167,,Dermatology & Plastic Surgery of Arizona,https://www.yellowpages.com/tucson-az/mip/dermatology-plastic-surgery-of-arizona-496005724,US,AZ,-110.96167,2021-11-20 03:11:27,Mo-Fr 08:00-17:00,,698 E Wetmore Rd Ste 310
,19134,"Pearle Vision is proud to be once again recognized, as the 2022 Women’s Choice Award winner as their Best Eye Care Retailer. Caring for you and your eyes since 1961, the eye care experts at your Pearle Vision in Philadelphia provide genuine eye care to you with eye exams, state-of-the-art lenses, and a wide variety of designer frame brands. Always count on clear answers and personal attention. Our commitment will still be going strong long after you leave with your new pair of glasses or updated lenses. We welcome your current prescription, and work with all major health and vision plans including EyeMed, VSP and UnitedHealthcare. Many of our locations are now EyeMed PLUS Providers. Check with your EyeCare Center to see which insurance plans are accepted. Eye exams available at the independent doctor of optometry at or next to Pearle Vision. Doctors in some states are employed by Pearle Vision.",Optical Goods/Eyeglasses/Optometrists,Philadelphia,Home/PA/Philadelphia/Optical Goods/Pearle Vision,,39.99218,groupsales@modells.com,https://www.pearlevision.com/pv-us/stores/pa/philadelphia/7883/?cid=Yext_7883&y_source=1_MTE2MTAxMy01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,60.0,"PostalAddress, US, 3400 Aramingo Ave Ste 9, Philadelphia, PA, 19134",(215) 425-4340,"master card, visa, cash, check, discover",,latitude: 39.99218 | longitude: -75.101,https://i2.ypcdn.com/blob/da72f830933ee65718d237505b2cc7c97deb19bb_400x260_crop.jpg,Pearle Vision,https://www.yellowpages.com/philadelphia-pa/mip/pearle-vision-474531402,US,PA,-75.101,2021-11-20 03:13:10,Mo-Sa 10:00-16:00,,3400 Aramingo Ave Ste 9
,28204,,Optical Goods/Optometrists,Charlotte,Home/NC/Charlotte/Optical Goods/Dilworth Vision Care,,35.21414,e@drbilon.com,https://www.drbilon.com,37.0,"PostalAddress, US, 110 N Torrence St, Charlotte, NC, 28204",(704) 333-0545,,,latitude: 35.21414 | longitude: -80.82843,,Dilworth Vision Care,https://www.yellowpages.com/charlotte-nc/mip/dilworth-vision-care-17350800,US,NC,-80.82843,2021-11-20 03:13:57,Mo-Fr 09:00-17:00,,110 N Torrence St
,70808,,"Optical Goods/Optometrists/Physicians & Surgeons/Optical Goods/Optometrists/Physicians & Surgeons/Physicians & Surgeons, Ophthalmology/Physicians & Surgeons, Surgery-General",Baton Rouge,"Home/LA/Baton Rouge/Optical Goods/Ehrlich, Philip D MD",,30.40409,main@emc-eyes.com,http://emc-eyes.com,15.0,"PostalAddress, US, 7777 Hennessy Blvd Ste 4000, Baton Rouge, LA, 70808",(225) 766-7441,"visa, master card",,latitude: 30.40409 | longitude: -91.10741,,"Ehrlich, Philip D MD",https://www.yellowpages.com/baton-rouge-la/mip/ehrlich-philip-d-md-2860674,US,LA,-91.10741,2021-11-20 03:14:03,Mo-Fr 08:00-17:00,,7777 Hennessy Blvd Ste 4000
,45227,,"Medical Service Organizations/Physicians & Surgeons, Family Medicine & General Practice",Cincinnati,Home/OH/Cincinnati/Medical Service Organizations/Corservice,,39.15525,info@corservice.com,http://www.corservice.com,14.0,"PostalAddress, US, 4460 Red Bank Rd Ste 210, Cincinnati, OH, 45227",(513) 527-3460,,,latitude: 39.15525 | longitude: -84.40381,,Corservice,https://www.yellowpages.com/cincinnati-oh/mip/corservice-1165767,US,OH,-84.40381000000001,2021-11-20 03:14:06,,,4460 Red Bank Rd Ste 210
