Country,Sex,y2015,y2010,y2005,y2000
Afghanistan, Both sexes,7.1,7,7.3,6.7
Afghanistan, Male,10.9,11.1,11.7,10.9
Afghanistan, Female,3.1,2.8,2.6,2.3
Albania, Both sexes,3.8,5,6.5,6.4
Albania, Male,5.3,7.3,9.5,9.8
Albania, Female,2.4,2.8,3.6,3.1
Algeria, Both sexes,3.1,3.4,3.8,3.5
Algeria, Male,5,5.3,5.4,4.8
Algeria, Female,1.3,1.4,2.1,2.3
Angola, Both sexes,25.9,26.2,25.6,23.8
Angola, Male,38.1,38.8,38.5,36.3
Angola, Female,14.3,14.3,13.3,12
Antigua and Barbuda, Both sexes,0,0.2,1.5,2.2
Antigua and Barbuda, Male,0,0.4,3.2,4.6
Antigua and Barbuda, Female,0,0,0,0.1
Argentina, Both sexes,13.9,12.7,12.1,13.4
Argentina, Male,23.7,21.4,20.5,22.8
Argentina, Female,4.8,4.6,4.5,5
Armenia, Both sexes,4.6,4.8,4.2,3.9
Armenia, Male,8,7.9,7.3,6.7
Armenia, Female,1.8,1.8,1.5,1.7
Australia, Both sexes,10.4,10.8,10.8,12.5
Australia, Male,15.3,16.6,16.8,20
Australia, Female,5.6,5.1,4.9,5.2
Austria, Both sexes,11.7,12.1,13.2,15.8
Austria, Male,18.5,19.4,21.1,24.9
Austria, Female,5.3,5.4,6.3,7.8
Azerbaijan, Both sexes,3.1,3.5,3.5,2.8
Azerbaijan, Male,5.3,6,6,4.8
Azerbaijan, Female,1.1,1.3,1.4,1
Bahamas, Both sexes,1.6,1.8,0.6,1.7
Bahamas, Male,2.9,2.6,1.1,2.5
Bahamas, Female,0.4,1.2,0.2,1
Bahrain, Both sexes,6.9,7.2,7.5,6.6
Bahrain, Male,9.5,9.9,10.2,9
Bahrain, Female,2.9,3.1,3.4,3.5
Bangladesh, Both sexes,6,6.7,7.2,7.6
Bangladesh, Male,5.3,5,5.2,6.6
Bangladesh, Female,6.6,8.3,9.2,8.6
Barbados, Both sexes,0.3,1.3,1.9,1.9
Barbados, Male,0.5,2.3,3.7,3.3
Barbados, Female,0.1,0.3,0.3,0.6
Belarus, Both sexes,19.1,23.6,30.9,37.2
Belarus, Male,35,42.8,56,68.7
Belarus, Female,5.4,7.2,9.5,10.1
Belgium, Both sexes,16.1,16.3,16.6,19
Belgium, Male,23.4,23.8,24.8,28.2
Belgium, Female,9.1,9.1,8.7,10.4
Belize, Both sexes,8.3,7.2,6.2,9.5
Belize, Male,14.7,11.8,11.2,16.5
Belize, Female,2,2.4,1.3,2.5
Benin, Both sexes,15,14.7,14.9,14.2
Benin, Male,22.7,22.3,22.9,21.8
Benin, Female,8.4,8.3,8.2,7.9
Bhutan, Both sexes,12.1,12.7,14.7,17
Bhutan, Male,13.9,14.5,17.2,20
Bhutan, Female,9.9,10.5,11.7,13.7
Bolivia (Plurinational State of), Both sexes,20.5,23,25.5,27.9
Bolivia (Plurinational State of), Male,26.7,29.7,32.6,36.7
Bolivia (Plurinational State of), Female,14.4,16.4,18.5,19.2
Bosnia and Herzegovina, Both sexes,4.4,4.7,6.7,8.9
Bosnia and Herzegovina, Male,7.1,7.5,11.1,14.7
